delta,cmd
"0:01:12.320612", "docker exec hadoop-namenode /usr/local/hadoop/bin/hadoop jar /usr/local/hadoop/share/hadoop/mapreduce/hadoop-mapreduce-examples-2.7.1.jar randomtextwriter -Dmapreduce.randomtextwriter.bytespermap=10 out"
"0:00:04.655625", "docker exec hadoop-namenode /usr/local/hadoop/bin/hadoop dfs -ls out"
"0:00:04.548076", "docker exec hadoop-namenode /usr/local/hadoop/bin/hadoop dfs -rm -r out"
"0:00:59.852520", "docker exec hadoop-namenode /usr/local/hadoop/bin/hadoop jar /usr/local/hadoop/share/hadoop/mapreduce/hadoop-mapreduce-examples-2.7.1.jar randomtextwriter -Dmapreduce.randomtextwriter.bytespermap=10 out"
"0:00:04.707709", "docker exec hadoop-namenode /usr/local/hadoop/bin/hadoop dfs -ls out"
"0:00:04.524541", "docker exec hadoop-namenode /usr/local/hadoop/bin/hadoop dfs -rm -r out"
"0:00:57.958977", "docker exec hadoop-namenode /usr/local/hadoop/bin/hadoop jar /usr/local/hadoop/share/hadoop/mapreduce/hadoop-mapreduce-examples-2.7.1.jar randomtextwriter -Dmapreduce.randomtextwriter.bytespermap=10 out"
"0:00:04.729410", "docker exec hadoop-namenode /usr/local/hadoop/bin/hadoop dfs -ls out"
"0:00:04.634843", "docker exec hadoop-namenode /usr/local/hadoop/bin/hadoop dfs -rm -r out"
