delta,cmd
"0:01:07.626449", "docker exec hadoop-namenode /usr/local/hadoop/bin/hadoop jar /usr/local/hadoop/share/hadoop/mapreduce/hadoop-mapreduce-examples-2.7.1.jar randomtextwriter -Dmapreduce.randomtextwriter.bytespermap=10 out"
"0:00:04.540208", "docker exec hadoop-namenode /usr/local/hadoop/bin/hadoop dfs -ls out"
"0:00:04.563188", "docker exec hadoop-namenode /usr/local/hadoop/bin/hadoop dfs -rm -r out"
"0:00:56.624642", "docker exec hadoop-namenode /usr/local/hadoop/bin/hadoop jar /usr/local/hadoop/share/hadoop/mapreduce/hadoop-mapreduce-examples-2.7.1.jar randomtextwriter -Dmapreduce.randomtextwriter.bytespermap=10 out"
"0:00:04.625819", "docker exec hadoop-namenode /usr/local/hadoop/bin/hadoop dfs -ls out"
"0:00:04.523879", "docker exec hadoop-namenode /usr/local/hadoop/bin/hadoop dfs -rm -r out"
"0:00:56.753357", "docker exec hadoop-namenode /usr/local/hadoop/bin/hadoop jar /usr/local/hadoop/share/hadoop/mapreduce/hadoop-mapreduce-examples-2.7.1.jar randomtextwriter -Dmapreduce.randomtextwriter.bytespermap=10 out"
"0:00:04.542772", "docker exec hadoop-namenode /usr/local/hadoop/bin/hadoop dfs -ls out"
"0:00:04.472868", "docker exec hadoop-namenode /usr/local/hadoop/bin/hadoop dfs -rm -r out"
